"site.id","srvy.lngth","split.prop","bf.d","bf.w","bf.w.d","CV_bf.d","CV_bf.w"
"South_CH5_28863",71.1,0,0.678,4.621,6.98240177332961,0.219076065945072,0.168060749749224
"South_CL2_44561",50.5875,0,0.674,3.77,5.77552281498763,0.274219941890752,0.197956114093161
"South_CL5_43942",112.8375,1,0.295916666666667,9.934,34.4361350885286,0.241553033293209,0.301269442801275
"South_PL3_22854",129.7125,0,0.638,8.583,13.6829835097482,0.111763778115954,0.242177044030268
"South_CL5_23253",44.4375,0,0.415,3.191,7.98659267962949,0.164413570204488,0.207476727815342
"South_PL3_23717",73.95,0.2,0.697,6.13,9.5597045616349,0.23333999370419,0.340911040441018
"South_CH5_28865",67.2375,0.4,0.485,5.003,10.4000126136659,0.230112289247879,0.325280278935284
"South_UL2_37060",63.9,0,0.418,3.849,9.97564828605696,0.239977580527005,0.200684360515968
"South_UH3_39700",47.3625,0,0.422,3.295,8.80278868305184,0.327361279911712,0.110042787481135
"South_UL5_48822",73.9875,0,0.887,5.006,7.06206857508555,0.682776469200203,0.23160556896873
"South_CH5_15973",78.21,0,0.667,4.745,7.32634216007356,0.134849216322452,0.284204131192964
"South_CH4_15972",119.1375,0,0.745,7.944,11.1778690643234,0.253201947506415,0.199901690774426
"South_UL3_15732",174.3,0,1.4155,12.963,9.45849638481086,0.164086764633675,0.176736925326772
"South_PL2_15472",138.75,0,0.652,7.364,11.8564101639102,0.278599367949716,0.226090951355652
"South_CL2_15407",43.9875,0,0.394,2.942,7.72109985498143,0.227075027538014,0.184426343652165
"South_PH5_45326",132.57,0,0.559,9.726,18.0747435474687,0.213248129805876,0.291936936949779
"South_PL5_28394",111.73125,0,0.995,8.029,10.7714680155581,0.439039947138397,0.152874750773266
"South_CL1_23267",65.82,0,0.502,5.779,12.8362672996955,0.373832674002694,0.299394145749407
"South_UH1_26809",142.41,0.5,0.4565,8.613,21.2795049853936,0.341128164101015,0.331118486291413
