site.id,d50,d84,dmax
South_CH5_28863,45,1000,5000
South_CL2_44561,2,22.6,128
South_CL5_43942,22.6,64,5000
South_PL3_22854,5.6,1000,2000
South_CL5_23253,11,1000,2000
South_PL3_23717,2,2,1000
South_CH5_28865,64,190,5000
South_UL2_37060,2,5.6,16
South_UH3_39700,22.6,1000,1000
South_UL5_48822,2,2,22.6
South_CH5_15973,190,1000,2000
South_CH4_15972,128,1000,2000
South_UL3_15732,2,8,1000
South_PL2_15472,8,128,1000
South_CL2_15407,16,90,190
South_PH5_45326,32,1000,2000
South_PL5_28394,2,45,190
South_CL1_23267,11,128,1000
South_UH1_26809,2.8,64,90
South_PL4_45111,4,5000,5000
South_UL1_43480,2,32,64
South_CL1_5523,32,90,5000
South_UL4_13094,16,22.6,128
South_UL4_8605,2,8,90
South_UH4_9550,11,32,64
South_UH2_13647,16,45,1000
South_UH5_16446,16,128,1000
South_UL2_16853,1000,2000,2000
South_UL5_16614,5.6,128,1000
South_CH2_28655,190,2000,2000
South_CH3_45125,190,5000,5000
South_UL1_43409,22.6,64,190
South_PH4_29231,2,190,5000
South_CL3_45211,128,1000,5000
South_CH2_32968,64,128,1000
South_PL4_53199,2,2,22.6
South_CL4_53173,2,22.6,64
South_PH3_53156,2,2,11
South_CH1_52922,4,90,2000
South_CL4_59606,2,1000,5000
South_CL5_59088,2,4,1000
South_CL3_58997,1000,5000,5000
South_PL5_55061,2,2,32
South_CH1_32561,32,1000,5000
South_PL5_26835,2,16,64
South_UL3_26793,11,45,190
South_PH2_24119,190,5000,5000
South_CH4_24236,90,1000,5000
South_PH1_17267,32,190,2000
South_PL3_28608,16,190,1000
South_CH4_43757,32,64,1000
South_CH3_43684,11,5000,5000
South_CH1_45567,45,190,1000
South_CH3_45554,90,2000,5000
South_PL1_45716,32,128,5000
South_PL2_44819,2,11,5000
South_PL2_44800,2,2.8,32
South_CH2_10195,32,190,1000
South_PL1_28573,64,190,5000
South_PL4_28521,2,32,90
South_PL1_28522,2,11,190
